2025-12-26 22:57:31 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/05/202505061052396554356.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 银行行业报告：利润调节器，从拨备论证大行盈利确定性价值（43页）
2025-12-26 22:57:31 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/05/202505061028403188724.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 保险行业研究报告：低利率下保险资金入市必要性提升（26页）
2025-12-26 22:57:31 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/04/202504301047162891843.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 海外养老保险体系研究报告：英国、德国、加拿大、智利（34页）
2025-12-26 22:57:31 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/04/202504291401122308945.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 女性财富管理机遇与金融机构行动指南（34页）
2025-12-26 22:57:31 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/04/202504291200327477262.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 2025年“十五五”金融规划研究白皮书（85页）
2025-12-26 22:57:31 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/04/202504281417004540388.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国A股上市公司股权激励年度实践报告（62页）
2025-12-26 22:57:31 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/04/202504281415192102945.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 智能金融行业报告：AI驱动的金融变革（46页）
2025-12-26 22:57:31 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/05/202505271544205526172.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币行业报告（43页）
2025-12-26 22:57:31 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/05/202505271533069979693.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 2025年Q1中国手机银行APP流量监测报告（13页）
2025-12-26 22:57:31 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/04/202504281407408275890.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 商业健康险的海外启示和国内路径探索研究报告（95页）
2025-12-26 22:57:31 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/04/202504270923253171821.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 虚拟货币全景洞察报告：深度剖析概念、历史、技术、现状与趋势（27页）
